Date,Ball_Minimum temperature (°C),Ball_Maximum temperature (°C),Ball_Direction of maximum wind gust,Ball_Speed of maximum wind gust (km/h)
2021-04-06,10.3,20.2,None,0.0
2021-04-07,11.7,25.5,SE,43.0
2021-04-08,8.0,25.8,NNW,44.0
2021-04-09,9.1,15.8,SW,41.0
2021-04-10,8.1,14.8,WSW,61.0
2021-04-11,3.9,11.2,SSW,61.0
2021-04-12,6.5,15.0,S,31.0
2021-04-13,4.0,16.1,N,67.0
2021-04-14,8.8,18.1,W,52.0
2021-04-15,7.5,16.8,WNW,44.0
2021-04-16,5.5,11.8,S,31.0
2021-04-17,7.8,14.7,SSW,33.0
2021-04-18,8.0,15.2,W,26.0
2021-04-19,5.2,17.7,NW,44.0
2021-04-20,7.4,13.5,SSW,46.0
2021-04-21,-1.8,12.0,WNW,30.0
2021-04-22,4.7,14.4,W,50.0
2021-04-23,6.0,13.0,W,35.0
2021-04-24,8.7,15.7,W,33.0
2021-04-25,5.9,14.3,W,31.0
2021-04-26,2.8,13.4,SSW,22.0
2021-04-27,9.0,14.9,S,28.0
2021-04-28,1.2,15.1,W,26.0
2021-04-29,1.2,20.2,W,20.0
2021-04-30,5.1,20.9,N,35.0
2021-03-01,11.5,20.8,SSW,52.0
2021-03-02,5.6,17.5,S,46.0
2021-03-03,8.1,17.9,S,43.0
2021-03-04,8.9,17.2,SSW,39.0
2021-03-05,9.2,18.2,SSE,52.0
2021-03-06,8.7,22.1,SSE,56.0
2021-03-07,6.1,26.6,N,37.0
2021-03-08,12.5,17.7,SSW,30.0
2021-03-09,9.8,19.8,S,33.0
2021-03-10,8.3,23.4,SSE,43.0
2021-03-11,9.4,26.5,S,33.0
2021-03-12,12.4,28.5,N,41.0
2021-03-13,15.4,22.6,WSW,50.0
2021-03-14,3.8,16.5,S,41.0
2021-03-15,3.6,17.8,SW,28.0
2021-03-16,9.9,23.6,SE,43.0
2021-03-17,9.9,25.6,N,37.0
2021-03-18,9.4,25.5,N,33.0
2021-03-19,10.7,26.9,SE,46.0
2021-03-20,12.6,25.1,SSE,48.0
2021-03-21,14.6,18.5,NE,59.0
2021-03-22,15.0,21.5,NE,54.0
2021-03-23,15.3,20.7,SE,33.0
2021-03-24,13.9,19.3,W,35.0
2021-03-25,11.3,17.7,W,50.0
2021-03-26,5.2,18.7,N,39.0
2021-03-27,10.4,18.6,WSW,46.0
2021-03-28,4.8,17.7,WSW,30.0
2021-03-29,7.7,18.4,S,31.0
2021-03-30,5.4,21.2,SSE,39.0
2021-03-31,7.4,24.0,None,0.0
2021-02-01,8.8,21.9,S,39.0
2021-02-02,9.5,19.3,S,48.0
2021-02-03,10.3,22.5,SSE,48.0
2021-02-04,10.1,25.7,N,48.0
2021-02-05,16.4,22.2,NNE,76.0
2021-02-06,11.4,22.1,WNW,46.0
2021-02-07,11.5,17.8,SSE,43.0
2021-02-08,9.8,19.1,SSE,50.0
